<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.08	12:00:00	3980.5	3982.0	3976.0	3980.5	1515	0	6
2022.09.08	13:00:00	3980.3	3986.9	3977.0	3984.8	1354	0	6
2022.09.08	14:00:00	3984.8	3989.8	3977.3	3979.7	1550	0	6
2022.09.08	15:00:00	3979.8	3988.3	3962.8	3964.0	2177	0	6
2022.09.08	16:00:00	3964.0	3979.0	3944.0	3974.8	2794	0	6
2022.09.08	17:00:00	3974.8	4001.8	3959.8	4000.0	3232	0	6
2022.09.08	18:00:00	4000.0	4010.5	3994.0	3997.3	2527	0	6
2022.09.08	19:00:00	3997.3	3999.0	3953.3	3981.0	3855	0	6
2022.09.08	20:00:00	3981.0	4000.8	3973.3	3992.0	3631	0	6
2022.09.08	21:00:00	3991.8	4002.8	3985.8	3989.3	3785	0	6
2022.09.08	22:00:00	3989.3	4005.8	3981.3	4005.5	3832	0	6
2022.09.08	23:00:00	4005.5	4005.5	4005.5	4005.5	1	0	7
2022.09.09	01:00:00	4006.4	4008.7	4006.2	4008.7	221	0	6
2022.09.09	02:00:00	4008.7	4012.2	4008.7	4009.7	901	0	6
2022.09.09	03:00:00	4009.7	4021.2	4008.9	4018.2	1155	0	6
2022.09.09	04:00:00	4018.2	4018.9	4011.9	4014.9	956	0	6
2022.09.09	05:00:00	4014.9	4020.7	4014.4	4016.4	752	0	6
2022.09.09	06:00:00	4016.4	4019.7	4015.7	4019.2	572	0	6
2022.09.09	07:00:00	4019.2	4026.4	4019.2	4024.9	579	0	6
2022.09.09	08:00:00	4024.9	4025.2	4018.9	4019.9	742	0	6
2022.09.09	09:00:00	4019.9	4020.4	4011.4	4017.2	965	0	6
2022.09.09	10:00:00	4017.2	4036.4	4015.7	4027.4	1516	0	6
2022.09.09	11:00:00	4027.4	4039.7	4025.7	4038.7	1331	0	6
2022.09.09	12:00:00	4038.6	4039.9	4033.2	4036.9	1128	0	6
2022.09.09	13:00:00	4036.9	4044.9	4033.4	4041.7	1265	0	6
2022.09.09	14:00:00	4041.7	4041.9	4033.7	4036.4	869	0	6
2022.09.09	15:00:00	4036.2	4044.9	4031.9	4037.4	1129	0	6
2022.09.09	16:00:00	4037.4	4044.9	4027.1	4044.9	2635	0	6
2022.09.09	17:00:00	4044.7	4064.4	4043.2	4061.9	6044	0	6
2022.09.09	18:00:00	4061.9	4064.2	4050.4	4058.9	4528	0	6
2022.09.09	19:00:00	4058.7	4063.4	4045.6	4062.9	4411	0	5
2022.09.09	20:00:00	4062.9	4071.4	4057.9	4068.9	2401	0	6
2022.09.09	21:00:00	4068.6	4072.9	4063.1	4070.6	2858	0	1
2022.09.09	22:00:00	4070.6	4078.4	4068.4	4069.1	3189	0	6
2022.09.12	01:00:00	4081.6	4084.7	4080.1	4080.9	347	0	6
2022.09.12	02:00:00	4080.9	4083.4	4078.7	4078.9	743	0	6
2022.09.12	03:00:00	4078.9	4078.9	4071.7	4073.2	1354	0	6
2022.09.12	04:00:00	4073.4	4075.4	4067.9	4074.9	1125	0	6
2022.09.12	05:00:00	4074.9	4075.4	4065.4	4068.9	803	0	6
2022.09.12	06:00:00	4068.9	4070.4	4064.9	4067.9	726	0	6
2022.09.12	07:00:00	4067.9	4069.2	4064.7	4066.9	674	0	6
2022.09.12	08:00:00	4066.7	4073.4	4066.7	4073.4	781	0	6
2022.09.12	09:00:00	4073.7	4078.9	4065.9	4078.2	1669	0	6
2022.09.12	10:00:00	4078.2	4086.6	4074.8	4083.2	3659	0	6
2022.09.12	11:00:00	4083.1	4096.4	4079.9	4095.8	2538	0	6
2022.09.12	12:00:00	4095.8	4098.8	4090.0	4090.3	2170	0	10
2022.09.12	13:00:00	4090.2	4091.3	4085.8	4087.4	2196	0	7
2022.09.12	14:00:00	4087.3	4094.3	4084.6	4093.1	2040	0	10
2022.09.12	15:00:00	4093.0	4093.3	4079.7	4088.1	2820	0	6
2022.09.12	16:00:00	4088.1	4114.5	4084.4	4114.4	5550	0	7
2022.09.12	17:00:00	4114.3	4121.6	4107.9	4109.1	6156	0	6
2022.09.12	18:00:00	4109.4	4117.1	4091.3	4097.1	5482	0	6
2022.09.12	19:00:00	4096.9	4107.6	4089.8	4107.1	5391	0	6
2022.09.12	20:00:00	4107.4	4115.6	4100.0	4114.1	3375	0	6
2022.09.12	21:00:00	4114.0	4114.7	4099.4	4107.9	4019	0	6
2022.09.12	22:00:00	4107.9	4115.3	4102.6	4115.3	3919	0	6
2022.09.12	23:00:00	4115.0	4115.0	4115.0	4115.0	1	0	7
2022.09.13	01:00:00	4117.6	4118.3	4116.7	4118.1	146	0	7
2022.09.13	02:00:00	4118.1	4120.3	4117.3	4118.3	414	0	6
2022.09.13	03:00:00	4118.3	4121.6	4115.8	4118.4	1501	0	6
2022.09.13	04:00:00	4118.4	4120.1	4113.1	4115.8	1479	0	6
2022.09.13	05:00:00	4115.8	4119.3	4112.3	4118.8	869	0	7
2022.09.13	06:00:00	4118.8	4120.8	4116.3	4116.6	641	0	7
2022.09.13	07:00:00	4116.8	4116.8	4113.1	4116.1	577	0	7
2022.09.13	08:00:00	4115.8	4124.6	4114.6	4124.1	918	0	7
2022.09.13	09:00:00	4123.8	4132.3	4122.3	4128.6	1495	0	7
2022.09.13	10:00:00	4128.1	4134.1	4123.4	4132.3	3456	0	7
2022.09.13	11:00:00	4132.3	4133.6	4129.3	4132.3	2214	0	7
2022.09.13	12:00:00	4132.3	4133.3	4127.6	4130.3	1677	0	6
2022.09.13	13:00:00	4130.3	4142.3	4129.1	4140.8	1622	0	6
2022.09.13	14:00:00	4140.8	4145.1	4140.4	4143.4	2205	0	10
2022.09.13	15:00:00	4143.4	4149.2	4024.3	4024.3	9289	0	6
2022.09.13	16:00:00	4024.4	4035.5	4012.8	4013.8	13202	0	7
2022.09.13	17:00:00	4013.3	4015.0	3984.8	3988.8	11128	0	7
2022.09.13	18:00:00	3988.5	3992.8	3980.7	3983.2	7471	0	7
2022.09.13	19:00:00	3982.7	3996.3	3980.5	3988.5	5516	0	9
2022.09.13	20:00:00	3987.7	4001.0	3984.1	3988.6	5938	0	7
2022.09.13	21:00:00	3988.7	3990.1	3960.2	3963.0	5229	0	7
2022.09.13	22:00:00	3963.2	3965.2	3923.2	3935.2	8349	0	7
2022.09.13	23:00:00	3935.5	3935.5	3935.5	3935.5	1	0	12
2022.09.14	01:00:00	3941.4	3945.5	3940.1	3943.2	544	0	7
2022.09.14	02:00:00	3943.2	3944.2	3935.5	3942.0	1331	0	6
2022.09.14	03:00:00	3942.1	3942.7	3929.5	3935.0	3459	0	6
2022.09.14	04:00:00	3934.8	3943.2	3934.7	3941.7	3076	0	7
2022.09.14	05:00:00	3941.7	3947.5	3941.2	3943.7	2005	0	8
2022.09.14	06:00:00	3943.5	3946.2	3938.7	3941.1	2114	0	10
2022.09.14	07:00:00	3941.1	3944.7	3939.2	3942.9	1838	0	11
2022.09.14	08:00:00	3942.9	3945.4	3933.7	3934.1	2601	0	11
2022.09.14	09:00:00	3933.9	3946.7	3930.8	3943.0	3817	0	12
2022.09.14	10:00:00	3943.1	3955.0	3936.7	3949.7	6355	0	10
2022.09.14	11:00:00	3949.8	3963.1	3948.3	3959.1	4554	0	7
2022.09.14	12:00:00	3959.0	3960.7	3949.9	3952.9	3565	0	7
2022.09.14	13:00:00	3952.6	3957.8	3947.3	3950.9	3115	0	7
2022.09.14	14:00:00	3951.1	3951.6	3926.6	3927.6	4535	0	8
2022.09.14	15:00:00	3927.8	3948.8	3926.6	3945.8	6817	0	7
2022.09.14	16:00:00	3945.7	3959.1	3933.4	3954.1	12129	0	7
2022.09.14	17:00:00	3954.4	3959.9	3920.6	3957.8	14971	0	7
2022.09.14	18:00:00	3957.7	3965.1	3945.7	3949.5	11486	0	8
2022.09.14	19:00:00	3949.8	3959.9	3943.0	3955.4	9220	0	7
2022.09.14	20:00:00	3955.6	3960.1	3930.1	3934.0	8201	0	7
2022.09.14	21:00:00	3933.8	3941.1	3925.7	3928.8	10095	0	8
2022.09.14	22:00:00	3928.9	3952.0	3913.2	3948.0	11206	0	7
2022.09.15	01:00:00	3955.7	3961.4	3955.2	3958.8	282	0	7
2022.09.15	02:00:00	3958.8	3958.8	3952.8	3955.2	622	0	7
2022.09.15	03:00:00	3955.2	3955.9	3950.7	3954.6	1179	0	7
2022.09.15	04:00:00	3954.6	3960.9	3948.0	3960.5	1432	0	6
2022.09.15	05:00:00	3960.4	3961.2	3954.6	3956.4	1085	0	7
2022.09.15	06:00:00	3956.4	3958.5	3952.4	3953.2	1113	0	7
2022.09.15	07:00:00	3953.1	3954.2	3949.8	3951.4	932	0	7
2022.09.15	08:00:00	3951.4	3952.2	3947.4	3949.8	1385	0	6
2022.09.15	09:00:00	3949.5	3953.6	3946.9	3950.4	1056	0	6
2022.09.15	10:00:00	3950.4	3959.7	3948.4	3958.5	1976	0	6
2022.09.15	11:00:00	3957.9	3960.9	3948.0	3952.5	1748	0	7
2022.09.15	12:00:00	3952.5	3958.3	3948.9	3955.4	2024	0	6
2022.09.15	13:00:00	3955.6	3957.2	3936.0	3942.0	2265	0	7
2022.09.15	14:00:00	3941.7	3951.3	3940.2	3942.6	1675	0	7
2022.09.15	15:00:00	3942.6	3949.4	3932.7	3943.2	4521	0	6
2022.09.15	16:00:00	3943.2	3955.2	3924.6	3953.4	8938	0	6
2022.09.15	17:00:00	3953.7	3961.2	3912.8	3914.8	11030	0	6
2022.09.15	18:00:00	3915.0	3927.4	3905.2	3911.1	8929	0	7
2022.09.15	19:00:00	3911.0	3923.1	3903.6	3922.8	6737	0	8
2022.09.15	20:00:00	3923.1	3947.0	3923.1	3930.2	7487	0	7
2022.09.15	21:00:00	3930.4	3930.6	3909.1	3911.9	7491	0	7
2022.09.15	22:00:00	3911.7	3913.0	3889.7	3903.1	9331	0	6
2022.09.16	01:00:00	3881.1	3882.9	3878.0	3882.3	457	0	6
2022.09.16	02:00:00	3882.3	3882.5	3874.8	3879.1	948	0	6
2022.09.16	03:00:00	3879.1	3884.0	3877.6	3878.7	1750	0	6
2022.09.16	04:00:00	3878.8	3882.5	3878.0	3878.4	1715	0	6
2022.09.16	05:00:00	3878.4	3881.9	3876.9	3879.4	1333	0	7
2022.09.16	06:00:00	3879.4	3879.9	3875.4	3875.7	693	0	7
2022.09.16	07:00:00	3875.5	3877.0	3873.7	3876.8	619	0	10
2022.09.16	08:00:00	3876.9	3878.8	3873.8	3873.8	1143	0	10
2022.09.16	09:00:00	3873.8	3878.8	3868.6	3870.5	2572	0	8
2022.09.16	10:00:00	3870.7	3876.0	3867.0	3871.4	3688	0	7
2022.09.16	11:00:00	3871.4	3872.1	3862.5	3865.9	2234	0	9
2022.09.16	12:00:00	3865.9	3870.4	3863.4	3865.6	2332	0	9
